text,weight,degree,closeness,betweenness,eigenvector,katz,average,naverage,pca1,pca2
グリップが柔らかい,1.0,0.0136986301369863,0.022415940224159398,0.0007557864903164856,1.572899931363961e-19,0.07623819958175578,0.185518092739,0.04225361001256859,-0.29723003712,-0.0460420248072
疲れにくい,1.0,0.02054794520547945,0.024657534246575342,0.0010392064241851677,1.6967275674685814e-19,0.08254582661737214,0.188131752082,0.07060487776294713,-0.296911503428,-0.0434985451596
書き続けられる,1.0,0.00684931506849315,0.01643835616438356,0.0,1.0266375177984302e-19,0.06874676334812227,0.182005739097,0.008268597357083537,-0.297717594467,-0.0509796283719
抗力が気にならない,1.0,0.0136986301369863,0.01761252446183953,0.0004723665564478035,9.028098816938107e-20,0.0749143623365563,0.184449647249,0.03550453687107918,-0.297429188676,-0.0490369147964
指に跡がつかない,1.0,0.00684931506849315,0.012977649603460706,0.0,5.46262413565531e-20,0.06798361692006011,0.181301763599,0.003815181149520855,-0.297848183562,-0.0530762141609
グリップの太さが適度,1.0,0.0136986301369863,0.018967334035827187,0.0004723665564478035,1.3831849859267098e-19,0.07555149638055264,0.184781637852,0.03774999711541561,-0.297370636538,-0.0481716162111
ドクターグリップぐらい,1.0,0.00684931506849315,0.0136986301369863,0.0,5.892673001519395e-20,0.06804733032444799,0.181432545922,0.004601623204198915,-0.297823069172,-0.0526519607976
デザイン,1.0,0.0136986301369863,0.06877471323466403,0.03854511100614077,4.757804927912192e-06,0.07562166771373972,0.199440813316,0.10919343693349233,-0.294106760963,-0.0127067288422
シンプル,1.0,0.0136986301369863,0.06318465033628,0.029192253188474255,1.1036839484710322e-06,0.07560808203637978,0.19694745323,0.09802495735715006,-0.29469007135,-0.0175871979409
色,1.0,0.0136986301369863,0.058346401902645215,0.019650448748228626,2.5607461887025516e-07,0.07553734579232972,0.194538847109,0.08737736170603623,-0.295257750833,-0.0220727041972
落ち着く色,1.0,0.0136986301369863,0.05412018573107528,0.009919697685403874,5.923579495921642e-08,0.07484356902447586,0.192097023636,0.07627617980510189,-0.295826984808,-0.0263200102579
